"WISKI_STATION_NO","WISKI_EQUIS_ID","WU_SYS_ID","WID","EQUIS_STATION_ID"
W02038028,,59327510,"04010102-541",S005-400
H02035001,S001-755,59327477,"04010102-508",S005-468
W02035005,,59327477,"04010102-508",S005-468
W02035022,,59327477,"04010102-508",S005-468
W02035023,,59327477,"04010102-508",S005-468
W59007001,S002-127,59340572,"09020107-503",S005-789
W59021001,S005-798,59340572,"09020107-503",S005-789
H18074001,S002-018,59332146,"07010204-515",S005-838
W23049002,S005-650,59333095,"07020002-501",S005-825
L11030501,,59330807,"07010106-502",S005-799
H26019003,S005-998,59333611,"07020005-515",S006-008
H26019003,S005-998,59333611,"07020005-515",S006-003
H26023002,S005-860,59333611,"07020005-515",S006-003
H26053001,S005-375,59333657,"07020005-559",S005-919
E07062001,S001-897,74021925,"07010101-753",S001-893
H07052002,S000-105,74021925,"07010101-753",S001-893
W07049001,S001-900,74021925,"07010101-753",S001-893
E07062001,S001-897,74021925,"07010101-753",S001-901
E16072001,,59331808,"07010202-673",S000-552
E18043001,,77299870,"07010204-764",S002-027
W18037002,,77299870,"07010204-764",S002-027
H18068001,,77299870,"07010204-764",S002-356
W05016002,,64387678,"04010301-757",S006-090
W05016003,,64387678,"04010301-757",S006-090
W02016003,,59327482,"04010102-513",S006-088
W02016016,,59327482,"04010102-513",S006-088
H33065001,S002-932,76716962,"07020012-825",S006-095
W33065002,,76716962,"07020012-825",S006-095
W28072002,,72902644,"07020007-709",S006-085
H37062002,,59335411,"07030005-520",S006-113
W21045002,,72634909,"07010207-679",S006-104
W46003003,,59339279,"07060002-515",S006-089
H48023002,,59339037,"07080201-503",S006-101
H48056001,,59339037,"07080201-503",S006-101
H18066001,S002-027,77299870,"07010204-764",S002-441
H18043002,,77299870,"07010204-764",S003-966
W18037002,,77299870,"07010204-764",S003-966
H18026001,,59332314,"07010204-687",S002-769
H38027003,S003-326,59335703,"07040001-517",S006-061
W41015002,S006-065,68390325,"07040004-973",S006-065
E37061001,S006-069,77282947,"07030005-785",S006-069
H23054001,S002-886,59332849,"07020002-563",S005-824
W23043002,,59332848,"07020002-562",S005-829
E19082001,,59332383,"07010205-508",S006-126
W32011002,S000-659,59334571,"07020011-620",S000-657
H16009001,S000-444,59331811,"07010202-676",S003-681
H33121004,,59334338,"07020012-519",S003-841
W12031003,,59330842,"07010106-537",S003-853
W03464011,S011-071,59328064,"04010201-541",S003-780
H39069001,,59335947,"07040002-509",S003-803
W39019001,S001-582,59335947,"07040002-509",S003-803
W55064004,S016-346,77362376,"09020102-583",S000-062
W15030004,,59331516,"07010201-545",S003-809
W43048005,,59337916,"07040008-560",S003-757
H25087001,S002-317,59333319,"07020004-513",S003-758
W02039010,,59327512,"04010102-543",S003-769
W02039033,,59327512,"04010102-543",S003-769
H20114002,S003-742,59332224,"07010206-539",S003-732
W14042002,S007-434,59331045,"07010108-505",S003-922
H14059001,,59331045,"07010108-505",S003-923
W17035002,,59556379,"07010203-700",S003-941
E20088003,,77108555,"07010206-814",S003-897
E03163017,,77221718,"04010201-B02",S003-898
W03163021,,77221718,"04010201-B02",S003-898
W03163022,,77221718,"04010201-B02",S003-898
H41049001,S003-802,59337248,"07040004-507",S003-905
W41049002,,59337248,"07040004-507",S003-905
H16011007,,59331401,"07010202-567",S003-873
W17012003,,59331658,"07010203-515",S003-431
W17012003,,59331658,"07010203-515",S003-433
H63025001,S003-172,59340965,"09020303-504",S003-571
W63024001,,59340965,"09020303-504",S003-571
W20106002,,59332192,"07010206-508",S003-483
W16058003,,59331332,"07010202-501",S003-484
W36005001,S013-805,59335242,"07030004-508",S003-451
W70018002,,59341059,"09020312-501",S003-102
W20106002,,59332192,"07010206-508",S003-440
